iduka	idu/ka
baldit͡ʃaːw	baldi/t͡ʃaː/w
aha	aha
ďuwun	ďu/wun
həgdiŋə	həgdiŋə
əɲijo	əɲi/jo
ribat͡ʃitt͡ʃəŋkiːtin	ribat͡ʃit/t͡ʃə/ŋkiː/tin
ďuγaɲiːwa	ďuγa/ɲiː/wa
ďuγaɲiːduː	ďuγa/ɲiː/duː
nulgiďəŋkiːwun	nulgi/ďə/ŋkiː/wun
əŋkiːwun	ə/ŋkiː/wun
təγəttə	təγə/t/tə
antimati	anti/mati
kuŋakarduːwun	kuŋaka/r/duː/wun
ajakanďi	aja/kan/ďi
oldolwə	oldo/l/wə
hilkiďiŋnərəwun	hilki/ďi/ŋnə/rə/wun
adilt͡ʃuhiniŋnərəwun	adil/t͡ʃu/hini/ŋnə/rə/wun
aďililwə	aďili/l/wə
towuďət͡ʃoːtin	towu/ďə/t͡ʃoː/tin
toːwər	toː/wər
igo	igo
əliː	ə/liː
kilometrduliː	kilometr/duliː
ŋənəŋnərəwun	ŋənə/ŋnə/rə/wun
oldolə	oldo/l/ə
iruŋnarawun	iru/ŋna/ra/wun
əkurďikə	əku/r/ďi/kə
hutakarduː	huta/ka/r/duː
uγaďəŋnarawun	uγa/ďə/ŋna/ra/wun
oldokorwə	oldo/ko/r/wə
wot	wot
biŋkiːn	bi/ŋkiː/n
ələwun	ələ/wun
planmutin	plan/mu/tin
vipalɲatt͡ʃiŋnərəwun	vipalɲat/t͡ʃi/ŋnə/rə/wun
oďəŋnərəwun	o/ďə/ŋnə/rə/wun
amiːja	amiː/ja
oďapkiːl	o/ďa/pkiː/l
bu	bu
dundəwə	dundə/wə
ďuguďiŋnərəwun	ďugu/ďi/ŋnə/rə/wun
ďawu	ďawu
ďawut͡ʃaďat͡ʃaːwun	ďawut͡ʃa/ďa/t͡ʃaː/wun
əjaka	ə/ja/ka
hamɲiːkarə	hamɲiː/ka/r/ə
oŋnərəwun	o/ŋnə/rə/wun
hamɲiːro	hamɲiː/r/o
əwa	ə/wa
gunďərə	gun/ďə/rə
se	se
internattulaː	internat/tulaː
gənnoːpkiːl	gənnoː/pkiː/l
ut͡ʃitnaːŋnərəwun	ut͡ʃit/naː/ŋnə/rə/wun
tigdəďərəkin	tigdə/ďə/rəki/n
ďukakanə	ďu/kakan/ə
oďarəwun	o/ďa/rə/wun
nulgit	nulgi/t
əŋkiːtin	ə/ŋkiː/tin
sobirarə	sobira/rə
inďərən	in/ďə/rə/n
ətiːrkot͡ʃomi	ətiːrko/t͡ʃo/mi
jaŋəti	jaŋəti
danila	danila
nikalajəvit͡ʃ	nikalajəvit͡ʃ
strogij	strogij
biŋkiːntə	bi/ŋkiː/n/tə
ďawut͡ʃaďaŋkiːn	ďawut͡ʃa/ďa/ŋkiː/n
huruŋnərəwun	huru/ŋnə/rə/wun
goroʃihalaː	goroʃiha/laː
toʒə	toʒə
kanikulilwun	kanikuli/l/wun
biŋkiːtin	bi/ŋkiː/tin
wəkitta	wəki/t/ta
inďət͡ʃoːw	in/ďə/t͡ʃoː/w
hawalilt͡ʃalai	hawali/l/t͡ʃala/i
inihit͡ʃoːw	ini/hi/t͡ʃoː/w
turalaː	tura/laː
ut͡ʃitnaːhit͡ʃoːw	ut͡ʃit/naː/hi/t͡ʃoː/w
manamda	mana/m/da
hawalim	hawali/m
tapat͡ʃa	tapat͡ʃa
tapat͡ʃaːtil	tapat͡ʃaːti/l
jaːdantsəwil	jaːdantsəwi/l
munŋi	mun/ŋi
haːdont͡ʃinil	haːdont͡ʃini/l
təγəm	təγə/m
ami	ami
soloːki	soloːki
turaːmiwa	turaːmi/wa
ollolo	ollo/l/o
kətəkoːkuːnmə	kətə/koːkuːn/mə
waːrəw	waː/rə/w
amiːnən	amiː/nən
aːgrəw	aːg/rə/w
aːsinmurən	aː/sin/mu/rə/n
tirgallan	tirga/l/la/n
gowolt͡ʃol	gowo/l/t͡ʃo/l
iːduwəl	iːdu/wəl
arakuːkan	ara/kuːkan
təγət͡ʃon	təγə/t͡ʃo/n
səriːwrə	səriː/w/rə
surut͡ʃo	suru/t͡ʃo
ŋinakirwə	ŋinaki/r/wə
gowoďərilwo	gowo/ďə/ri/l/wo
waːnaːstən	waː/naː/s/tə/n
it͡ʃenoːst͡ʃo	it͡ʃe/noː/s/t͡ʃo
eːkurwa	eːku/r/wa
gowoďoro	gowo/ďo/ro
dilat͡ʃ	dilat͡ʃ
hətəkənəm	hətəkənə/m
dilat͡ʃa	dilat͡ʃa
ďo	ďo
aŋiďərən	aŋi/ďə/rə/n
suruďəm	suru/ďə/m
gowondulaːtin	gowo/n/dulaː/tin
surum	suru/m
kuktim	kukti/m
pəktironmə	pəktiron/mə
buːh	buːh
pəktiron	pəktiron
gowoďəmi	gowo/ďə/mi
wras	wras
tajgato	tajga/to
tihə	tihə
əwuːst͡ʃam	əwuː/s/t͡ʃa/m
urə	urə
hoktowi	hokto/wi
sokorim	sokori/m
uďalaːwi	uďa/laː/wi
əmədoːwi	əmə/doː/wi
aŋilaːwi	aŋi/laː/wi
bit͡ʃoːw	bi/t͡ʃoː/w
doːldiːra	doːldiː/ra
taigaduː	taiga/duː
damka	damka
gərbiwi	gərbi/wi
saːnə	saː/nə
haːŋiďaďan	haːŋi/ďa/ďa/n
amiːŋasaw	amiː/ŋasa/w
ŋənəďəďən	ŋənə/ďə/ďə/n
ŋinakinmiː	ŋinakin/miː
uďalwaw	uďa/l/wa/w
bakaran	baka/ra/n
uďalduliːw	uďa/l/duliː/w
iːloː	iːloː
ŋənəďənnə	ŋənə/ďə/nnə
sinə	sinə
pəktironməs	pəktiron/mə/s
doːldiːt͡ʃaw	doːldiː/t͡ʃa/w
həŋkəttən	həŋkət/tə/n
surunnə	suru/nnə
alatt͡ʃet͡ʃa	alat/t͡ʃe/t͡ʃa
bimt͡ʃes	bi/mt͡ʃe/s
əmərəw	əmə/rə/w
buː	buː
guluwundulaːwər	guluwun/dulaː/wər
sawoːdalwər	sawoːda/l/wər
moːtiːwə	moːtiː/wə
waːmi	waː/mi
higďərə	hig/ďə/rə
taːnisinən	taːni/sin/ə/n
bisin	bi/si/n
tigəkoːrwis	tigə/koː/r/wi/s
aŋikəl	aŋi/kəl
moːtiːt	moːtiːt
aŋit͡ʃa	aŋi/t͡ʃa
əta	əta
uloːkkirən	uloːkki/rə/n
ďuːduːwar	ďuː/duː/war
uliďəďet	uli/ďə/ďe/t
ut͡ʃalaːďet	ut͡ʃalaː/ďe/t
arakuːkaːn	ara/kuːkaːn
ədaːw	ə/daː/w
it͡ʃərə	it͡ʃə/rə
purtatpi	purta/t/pi
ərkoːnduliː	ər/koːn/duliː
aŋirən	aŋi/rə/n
arkirən	arki/rə/n
moːtiːtkoːn	moːtiː/t/koːn
kikisinən	kiki/sin/ə/n
ol	ol
ulləŋilwər	ullə/ŋi/l/wər
ďuwurəw	ďuwu/rə/w
ďawdulaːwər	ďaw/dulaː/wər
halwatin	ha/l/wa/tin
omoːnəw	omoːn/ə/w
maleɲka	maleɲka
suʃiť	suʃiť
tagda	tagda
sə	sə
ďawduːwər	ďaw/duː/wər
ulləkoːrwə	ullə/koː/r/wə
noːttəw	noː/t/tə/w
fśe	fśe
aŋilaːwər	aŋi/laː/wər
klastuː	klas/tuː
ut͡ʃenikilwiː	ut͡ʃeniki/l/wiː
tunŋa	tunŋa
ət͡ʃoːtin	ə/t͡ʃoː/tin
kət	kət
kətəkoːkun	kətə/koːkun
śergejif	śergejif
familijən	familijə/n
sergejew	sergejew
gərbiːn	gərbiː/n
trəfim	trəfim
manarən	mana/rə/n
klaswa	klas/wa
staːdolaː	staːdo/laː
sururən	suru/rə/n
orordi	oro/r/di
amtiːldulaːwi	amtiːl/dulaː/wi
əhiːkoːn	əhiː/koːn
staːdoduk	staːdo/duk
əməwusinə	əmə/wu/sin/ə
kuŋaːkaːrwə	kuŋaːkaː/r/wə
nor	nor
əlaː	ə/laː
əwədit	əwə/di/t
nuŋanduːn	nuŋan/duː/n
aŋila	aŋi/l/a
tug	tug
əɲininnə	əɲini/n/nə
əɲinin	əɲini/n
əːkəː	əː/kəː
oːn	oːn
ut͡ʃiťelɲitsa	ut͡ʃiťelɲitsa
grit	grit
gərbin	gərbi/n
familjawan	familja/wa/n
omŋom	omŋo/m
əɲimtiki	əɲi/m/tiki
aŋikaːnə	aŋi/kaːn/ə
ɲaŋtatiːďam	ɲaŋta/tiː/ďa/m
nuŋandulaːn	nuŋan/dulaː/n
padaːrəkjəwi	padaːrək/jə/wi
əːjawiw	əː/ja/wi/w
suru	suru
ut͡ʃiťelɲitsaduːwi	ut͡ʃiťelɲitsa/duː/wi
nuŋaŋilin	nuŋa/ŋi/li/n
trofimŋil	trofim/ŋi/l
ďajaďan	ďaja/ďa/n
miʃokpi	miʃok/pi
bakaďara	baka/ďa/ra
əɲi	əɲi
niːkə	niː/kə
ɲaŋtaŋilwəm	ɲaŋta/ŋi/l/wə/m
aŋiďan	aŋi/ďa/n
ďajakal	ďaja/kal
ədoːtin	ə/doː/tin
bakara	baka/ra
patəjil	patəji/l
klastuːi	klas/tuː/i
təγətt͡ʃəm	təγə/t/t͡ʃə/m
trafim	trafim
ut͡ʃeɲikiw	ut͡ʃeɲiki/w
zdraːstwujťe	zdraːstwujťe
aŋiwi	aŋi/wi
karmandukpi	karman/duk/pi
aŋiran	aŋi/ra/n
əːdukpiwəl	əːduk/pi/wəl
aŋikaːnmə	aŋi/kaːn/mə
ərdikoːnmə	ərdi/koːn/mə
t͡ʃemokokoːn	t͡ʃemo/kokoːn
ɲaŋtal	ɲaŋta/l
t͡ʃenokoːnkə	t͡ʃeno/koːn/kə
ɲaŋɲa	ɲaŋɲa
upkat͡ʃin	upkat͡ʃi/n
ɲaŋɲaja	ɲaŋɲa/ja
əbəj	əbəj
ďepďerə	ďep/ďe/rə
adiːraːdaː	adiː/raː/daː
ďajan	ďaja/n
əsile	əsile
sinduː	sin/duː
əməwum	əmə/wu/m
bun	bun
tuktə	tuk/tə
guďeːj	guďeːj
nəlki	nəlki
baldit͡ʃam	baldi/t͡ʃa/m
balnitsa	balnitsa
baldit͡ʃaːm	baldi/t͡ʃaː/m
duːkuďat͡ʃaːtin	duːku/ďa/t͡ʃaː/tin
ďapkundulaː	ďapkun/dulaː
klasəldulaː	klasə/l/dulaː
ɲuŋunduː	ɲuŋun/duː
surut͡ʃoːm	suru/t͡ʃoː/m
əməm	əmə/m
hawalilim	hawali/li/m
śit͡ʃastə	śit͡ʃas/tə
aːt͡ʃir	aːt͡ʃi/r
məːrwəl	məːr/wəl
aŋirə	aŋi/rə
dapdarə	dapda/rə
ʃas	ʃas
orirə	ori/rə
amija	ami/ja
nado	nado
onmər	on/mər
ɲəkəmi	ɲəkə/mi
ətəjəːtnoːmi	ətəjəː/t/noː/mi
ladno	ladno
vet͡ʃərəm	vet͡ʃərəm
əməďim	əmə/ďi/m
ďirikat͡ʃaːn	ďirika/t͡ʃaːn
əːkundaː	əːkun/daː
iːduː	iːduː
t͡ʃikilmi	t͡ʃikil/mi
ətəjəːtmi	ətəjəː/t/mi
paka	paka
horolďit͡ʃoːwun	horol/ďi/t͡ʃoː/wun
ulgut͡ʃoːmott͡ʃit͡ʃoːwun	ulgut͡ʃoː/mot/t͡ʃi/t͡ʃoː/wun
it͡ʃərəwunduː	it͡ʃə/rə/wun/duː
tawarka	ta/war/ka
uʒe	uʒe
uʃ	uʃ
loporoːrən	loporoː/rə/n
ďirikaltuk	ďirika/l/tuk
əməldəkin	əmə/ldək/in
əduk	əduk
it͡ʃəwun	it͡ʃə/wun
oːďan	oː/ďa/n
loporoːrakin	loporoː/rak/in
ŋəpkəkəːlaː	ŋəpkəkəː/laː
təpkəhinďəm	təpkə/hin/ďə/m
gojoːwlipt͡ʃə	gojoːwli/p/t͡ʃə
ŋəpkəkəːləː	ŋəpkəkəː/ləː
omoːnəwun	omoːn/ə/wun
haŋkəlwun	haŋkə/l/wun
biďit͡ʃəːtin	bi/ďi/t͡ʃəː/tin
ďuːlduː	ďuː/l/duː
ujuːt͡ʃəjit͡ʃəːtin	ujuː/t͡ʃə/ji/t͡ʃəː/tin
haŋkəlwər	haŋkə/l/wər
gənnoːrəwun	gənnoː/rə/wun
haŋkəlďi	haŋkə/l/ďi
ŋinaγiːrawun	ŋinaγiː/ra/wun
uːďaliːn	uːďa/liː/n
