self-will	self/-/will
hi-fi	hi/-/fi
folk-dance	folk/-/dance
rail-car	rail/-/car
clean-cut	clean/-/cut
two-ply	two/-/ply
double-clutch	double/-/clutch
tape-measure	tape/-/measure
want-ad	want/-/ad
sea-legs	sea/-/legs
chain-gang	chain/-/gang
sea-lion	sea/-/lion
clean-living	clean/-/living
best-looking	best/-/looking
cross-talk	cross/-/talk
cross-country	cross/-/country
totem-pole	totem/-/pole
living-space	living/-/space
soda-fountain	soda/-/fountain
knee-high	knee/-/high
sinking-fund	sinking/-/fund
roll-on	roll/-/on
follow-on	follow/-/on
tie-on	tie/-/on
walk-up	walk/-/up
forward-looking	forward/-/looking
long-time	long/-/time
eating-place	eating/-/place
toe-cap	toe/-/cap
two-way	two/-/way
motor-coach	motor/-/coach
climaxes	climax/es
salvoes	salvo/es
therapies	therapi/es
hagiographies	hagiographi/es
summaries	summari/es
topazes	topaz/es
suffixes	suffix/es
infamies	infami/es
jollies	jolli/es
ninnies	ninni/es
splashes	splash/es
centuries	centuri/es
dandies	dandi/es
nourishes	nourish/es
haloes	halo/es
ironies	ironi/es
caucuses	caucus/es
actress'	act/r/ess/'
jazzes	jazz/es
billies	billi/es
mantises	mantis/es
vanquishes	vanquish/es
hitches	hitch/es
rowdies	rowdi/es
matrixes	matrix/es
gipsies	gipsi/es
brushes	brush/es
man-eating	man/-/eating
over-produce	over/-/produce
try-out	try/-/out
badly-off	bad/ly/-/off
prepackaged	pre/pack/ag/ed
breadwinner	bread/winn/er
denationalized	de/nation/al/iz/ed
embalmer	em/balm/er
photocopier	photo/copi/er
gatecrasher	gate/crash/er
double-basses	double/-/bass/es
washerwoman	wash/er/woman
backbencher	back/bench/er
looking-glasses	looking/-/glass/es
arbitrariness'	arbitr/ari/ness/'
electioneering	elect/ion/eer/ing
invalidated	in/valid/at/ed
dinner-service	dinn/er/-/serv/ice
panhandling	pan/handl/ing
schoolmistress'	school/mistress/'
abusing	ab/us/ing
joggling	jogg/l/ing
bypassing	by/pass/ing
embossing	em/boss/ing
acknowledging	ac/knowledg/ing
trendiness'	trend/i/ness/'
misunderstanding	mis/understand/ing
dreamier	dream/i/er
scantier	scant/i/er
mushier	mush/i/er
earthiness'	earth/i/ness/'
interposing	inter/pos/ing
moistening	moist/en/ing
centralized	centr/al/iz/ed
furrier	furr/i/er
idolizing	idol/iz/ing
summarizing	summar/iz/ing
outlawing	out/law/ing
sterilizing	steril/iz/ing
overlapping	over/lapp/ing
domesticating	domestic/at/ing
pontificating	pontific/at/ing
disregarding	dis/regard/ing
declaiming	de/claim/ing
deciphering	de/cipher/ing
reminder	re/mind/er
opinionated	opin/ion/at/ed
detraining	de/train/ing
denuding	de/nud/ing
denuding	de/nud/ing
vouchsafed	vouch/saf/ed
fizzled	fizz/l/ed
adjudged	ad/judg/ed
breakfasted	break/fast/ed
pressured	press/ur/ed
countrified	countr/ifi/ed
terrified	terr/ifi/ed
untangling	un/tangl/ing
vilified	vil/ifi/ed
interchanged	inter/chang/ed
broadminded	broad/mind/ed
accompanied	ac/compani/ed
hardbacked	hard/back/ed
fireproofed	fire/proof/ed
worsened	wors/en/ed
reshuffling	re/shuffl/ing
rebuilding	re/build/ing
indignities'	in/digniti/es/'
money-grubber	money/-/grubb/er
overbalanced	over/balanc/ed
vulgarized	vulgar/iz/ed
four-wheeler	four/-/wheel/er
four-poster	four/-/post/er
overlapped	over/lapp/ed
trivialized	trivial/iz/ed
mind-reader	mind/-/read/er
fire-eater	fire/-/eat/er
part-owner	part/-/own/er
business'	busi/ness/'
disregarded	dis/regard/ed
debriefed	de/brief/ed
left-hander	left/-/hand/er
illness'	ill/ness/'
cross-indexing	cross/-/index/ing
realigned	re/align/ed
redressed	re/dress/ed
foot-faulting	foot/-/fault/ing
recapitulated	re/capitulat/ed
reposed	re/pos/ed
libber	libb/er
smoother	smooth/er
rigger	rigg/er
joker	jok/er
quieter	quiet/er
bowler	bowl/er
pensioner	pension/er
blabber	blabb/er
shallower	shallow/er
tempter	tempt/er
intermediary's	inter/medi/ary/'s
stationer	station/er
taster	tast/er
worshipper	worshipp/er
poorer	poor/er
fresher	fresh/er
faster	fast/er
squeaker	squeak/er
trespasser	trespass/er
blusterer	bluster/er
bearer	bear/er
winner	winn/er
