mantelɔːlpɨlʼä	mante/lɔːl/pɨ/lʼä
qontɨšɛlʼčʼa	qontɨ/š/ɛlʼčʼa
poqonɨ	po/qonɨ
tüːŋɔːtɨn	tüː/ŋɔː/tɨn
čʼattɨmpɨla	čʼattɨ/mpɨ/la
ɛsälɔːlpa	ɛsä/lɔːl/pa
šɛːqɨntɔːtɨt	šɛːqɨ/ntɔː/tɨt
ütteŋito	ütt/e/ŋi/to
imaqota	imaqota
montɨ	montɨ
montɨ	montɨ
ukkɨr	ukkɨr
tü	tü
šik	šik
montɨ	montɨ
šik	šik
šik	šik
čʼatɨ	čʼatɨ
peːŋal	peː/ŋa/l
qɨːqɨllʼe	qɨː/qɨl/lʼe
loːs	loːs
montɨ	montɨ
ılla	ılla
ılla	ılla
iːja	iːja
čʼatɨ	čʼatɨ
moqonä	moqonä
montɨ	montɨ
čʼatɨ	čʼatɨ
čʼatɨ	čʼatɨ
ukkɨr	ukkɨr
ılla	ılla
imaqota	imaqota
nıŋ	nı/ŋ
imaqota	imaqota
loːs	loːs
ukkɨr	ukkɨr
nıŋ	nı/ŋ
moqonä	moqonä
montɨ	montɨ
moqonä	moqonä
loːs	loːs
loːs	loːs
moqonä	moqonä
pɨrnʼi	pɨrnʼi
loːs	loːs
ılla	ılla
pɨrnʼi	pɨrnʼi
loːs	loːs
pɨrnʼi	pɨrnʼi
pɨrnʼi	pɨrnʼi
šik	šik
ukkɨr	ukkɨr
pɨrnʼi	pɨrnʼi
pɨrnʼi	pɨrnʼi
šik	šik
ukkɨr	ukkɨr
ılla	ılla
pɨrnʼi	pɨrnʼi
šik	šik
imaqota	imaqota
moqonä	moqonä
šik	šik
ukkɨr	ukkɨr
ukkɨr	ukkɨr
loːs	loːs
moqonä	moqonä
imaqota	imaqota
imaqota	imaqota
montɨ	montɨ
ılla	ılla
ılla	ılla
nälʼatä	nälʼa/tä
imasɨqəj	ima/sɨ/qəj
šäqɨmpɔːtɨt	šäqɨ/mpɔː/tɨt
tokkɨmɔːlla	tokkɨ/mɔːl/la
lɨpkɨmɔːlla	lɨpkɨ/mɔːl/la
täqɨmpɔːtɨt	täqɨ/mpɔː/tɨt
nɨrkɨmɔːlla	nɨrkɨ/mɔːl/la
šäkɨmpɔːtɨt	šäkɨ/mpɔː/tɨt
šäːkɨmpɔːtɨt	šäːkɨ/mpɔː/tɨt
*lipkɨqɨn	*lipkɨ/qɨn
nʼöŋa	nʼö/ŋa
muqɨn	mu/qɨn
taqtalʼtɨlʼä	taqt/alʼtɨ/lʼä
tallalʼtɨlʼä	tall/alʼtɨ/lʼä
qɨčʼčʼɨmɔːlla	qɨčʼčʼɨ/mɔːl/la
paqtɛlʼe	paqt/ɛ/lʼe
mäšilʼe	mäši/lʼe
tantɨlʼe	tantɨ/lʼe
qättällä	qätt/äl/lä
täp	täp
täp	täp
paŋɨsä	paŋɨ/sä
muntɨk	muntɨk
täp	täp
nälʼa	nälʼa
pötpa	pöt/pa
muntɨk	muntɨk
muntɨk	muntɨk
čʼatkɨsä	čʼatkɨ/sä
täp	täp
pačʼalqo	pačʼ/al/qo
muntɨk	muntɨk
pinpa	pin/pa
čʼöšsä	čʼöš/sä
qorasä	qora/sä
čʼošsä	čʼoš/sä
qoräsä	qorä/sä
nɨː	nɨː
ünɨsä	ünɨ/sä
muntɨk	muntɨk
nälʼa	nälʼa
täp	täp
muntɨk	muntɨk
muntɨk	muntɨk
täp	täp
omtɨ	omtɨ
täp	täp
sačʼčʼɨmɔːlla	sačʼčʼɨmɔːl/la
sačʼčʼɨmɔːtpa	sačʼčʼɨmɔːt/pa
toːlla	toːl/la
okkəmɨqаn	okkə/mɨ/qаn
muntɨk	muntɨk
patqɨlla	pat/qɨl/la
putɨlmɔːllä	putɨl/mɔːl/lä
ilɨmpɔːtɨt	ilɨ/mpɔː/tɨt
*qorrɨmɔːllä	*qorrɨ/mɔːl/lä
natqɨlɛlʼčʼɨn	nat/qɨl/ɛlʼčʼɨ/n
quŋa	qu/ŋa
quŋa	qu/ŋa
amɛntaɣ	am/ɛnta/ɣ
tüːŋɔːtɨt	tüː/ŋɔː/tɨt
nık	nık
omta	omta
omta	omta
nık	nık
omta	omta
nık	nık
nık	nık
nık	nık
omta	omta
nık	nık
nık	nık
nık	nık
qontɨšeiŋa	qontɨ/š/ei/ŋa
omta	omta
nık	nık
ilɨmɨntɔːqəj	ilɨ/mɨ/ntɔː/qəj
aplʼäj	ap/lʼä/j
aplʼäj	ap/lʼä/j
taqtaltɨlʼä	taqt/altɨ/lʼä
aplʼäj	ap/lʼä/j
aplʼäj	ap/lʼä/j
miːšɔːllä	miːš/ɔːl/lä
patqɨllä	pat/qɨl/lä
tarlä	tar/lä
omtija	omti/ja
ijatə	ija/tə
olampa	olam/pa
ɛšilä	ɛši/lä
imaqəj	ima/qəj
qəntej	qən/te/j
tɨmnʼaqımɨ	tɨmnʼa/qı/mɨ
pɛlʼikɔːlɨk	pɛlʼi/kɔːlɨ/k
čʼəkäptɨrla	čʼək/äptɨ/r/la
tan	tan
mompa	mompa
tan	tan
